city,date,temp,temp_min,temp_max,humidity,pressure,wind_speed,weather,rain
Paris,2025-07-05 20:41:53,24.74,23.75,25.76,33,1017,5.14,Clear,0
London,2025-07-05 20:41:54,21.69,20.95,22.06,71,1012,5.14,Clouds,0
New York,2025-07-05 20:41:54,29.32,27.75,30.72,39,1020,3.6,Clear,0
Tokyo,2025-07-05 20:41:55,27.39,25.34,28.13,82,1003,3.6,Clouds,0
Berlin,2025-07-05 20:41:56,26.61,25.57,27.77,32,1011,4.63,Clear,0
Sydney,2025-07-05 20:41:56,12.09,10.27,12.9,86,1019,4.12,Clouds,0
Moscow,2025-07-05 20:41:57,19.24,18.29,19.24,42,1014,3.1,Clouds,0
Dubai,2025-07-05 20:41:57,32.96,32.96,34.14,70,997,3.6,Clear,0
Antananarivo,2025-07-05 20:41:58,12.98,12.98,12.98,100,1025,3.6,Clouds,0
